привет,HELO
как дела,HELO
здравствуй,HELO
прифки,HELO
дратути,HELO
хеллоу,HELO
превед,HELO
как здоровье,HELO
ты живой,HELO
здравия желаю,HELO
здраствуй,HELO
здарова,HELO
привет мразь,HELO
приветствую вас,HELO
privet,HELO
салам брат,HELO
банкоматы,ATMS
ближайший банкомат,ATMS
где я могу снять деньги со счета,ATMS
где я могу получить наличные,ATMS
где находятся банкоматы вашего банка,ATMS
где я могу снять бабки,ATMS
где снять бабосы,ATMS
где снять бабло,ATMS
где ваши atms,ATMS
снять деньги атм,ATMS
ближайший банкамат,ATMS
где вы выдаете деньги,ATMS
снять наличку,ATMS
выдайте мне деньги,ATMS
дайте мое бабло,ATMS
дайте мои бабки,ATMS
покажите на карте местоположения банкоматов,ATMS
локация банкоматов,ATMS
геолокация банкоматов,ATMS
где выдавалка денег,ATMS
вытащить деньги,ATMS
отдай мою денежку,ATMS
получить зряплату,ATMS
снять зарплату,ATMS
gde bankomat,ATMS
gde snat dengi,ATMS
gde nahodatsa bankomati,ATMS
blijayshiy bankomat,ATMS
snat zarplatu,ATMS
бляха,RUDE
могу послать бота,RUDE
иди на хуй,RUDE
сасай лалка,RUDE
соси хуй,RUDE
сука хуесосы,RUDE
лох пидр,RUDE
ипал,RUDE
ебать тёплое дерьмо,RUDE
разрабы гондоны,RUDE
лалка затралил,RUDE
сучки ебанутые мрази,RUDE
пошли нахуй,RUDE
ебанутые,RUDE 
суки ёбаные,RUDE
отсосете хуйца,RUDE
конченные мрази,RUDE 
блядины хуевы,RUDE
идите нахер,RUDE
курва,RUDE
говно,RUDE
педики часом,RUDE
малафья потекла,RUDE
подрочил,RUDE
вы там не охуели,RUDE
говнище вообще суки,RUDE
фак бич падла,RUDE
кстати мразоты ваш бот это нехилое говнецо,RUDE
в пизду вашего бота,RUDE
пиздаболы вы кинули меня,RUDE
иди в жопу,RUDE
шлюха,RUDE
гнида,RUDE
ёбаный,RUDE
соси свой хуй,RUDE
тварь,RUDE
suka blyad,RUDE
я хочу выразить свое мнение,RESP
а как я могу написать отзыв,RESP
ваш бот говно,RESP
ваш бот великолепен но я бы хотел улучшить его,RESP
у меня есть предложение по поводу бота я хочу более точные курсы валют,RESP
я хочу написать отзыв,RESP
я написал бота который во много раз круче,RESP
вы упростили мою жизнь,RESP
у меня зависает бот,RESP 
курсы валют не пришли вовремя,RESP
я хотел чтобы бот давал более правильные ответы,RESP
у вас разработчики плохие,RESP
ваш бот поздно отвечает на вопросы,RESP
я хотел чтобы уведомления приходили два раза в день,RESP
мне кажется что вы спиздили наш дизайн,RESP
а ваш бот умеет показывать фокусы,RESP
мне отправили неправильное расположение,RESP
мне нужно больше функций,RESP
а у вас будет бот для скайпа,RESP
пофиксите баг пожалуйста,RESP
бот перестал работать,RESP
спасибо бот замечательно работает,RESP
отлично мне все нравится,RESP
мне не нравится как работает эта шняга,RESP
